CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
Gabi,100,1.12092,0.0053,1.12085,0.005,1.12,0.005,25.1875,0.221994,44.4405,0.22363,-9.0,0,0,-0.125109,0.052219,0.5904,0.30512,24.8602,0.0319137,2.04134e-06,6.00024e-08,0.00659014,-7.65557e-09,-9.50548e-10,189.058,62.2021,-999,-999,-9.0,-10.9769,250,0.00989616,8.54,0.18,53489.2,0.5227,6,16.6794,0.0105368,0.1581,0.014,0.0943,0.003,0.906,0.0
330089,15,0.34881,0.0015,0.34872,0.001,0.3498,0.001,22.1191,0.21674,41.3721,0.218415,-9.0,0,0,0.028298,0.038972,0.68208,0.53575,22.1208,0.0474508,2.54489e-05,1.11221e-06,0.0068904,-2.44367e-07,-3.4545e-08,36.1903,-4.8221,-999,-999,21.5339,-18.1298,250,0.0238416,9.651,0.264,55890.7,0.6436,26,32.2171,0.18604,0.1052,0.0107,-0.0375,0.003,1.0,0.01
2017erp,51,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,12.9421,0.339458,32.1951,0.34053,32.2221,1,0,0.03324,0.023625,0.26056,0.022269,12.9977,0.063433,0.11348,0.00663008,-0.000119712,2.64104e-05,-0.000125899,227.312,-11.3342,-999,-999,-9.0,147.138,250,0.0926627,10.591,-9.0,57935.0,0.0219,164,252.323,1.12596e-05,0.0442,0.2736,-0.0612,0.002,1.0,0.01
1998ef,62,0.0169,0.00085,0.0161,0.0,0.01711,0.0,14.6445,0.26318,33.8975,0.264562,-9.0,0,0,-0.110187,0.029975,-1.19643,0.11134,14.5761,0.0530022,0.0265188,0.00129457,0.000214243,-2.34109e-05,-2.98383e-05,15.862,32.2368,-999,-999,-9.0,-236.776,250,0.0633805,10.3088,0.15,51114.2,0.0943,11,12.8816,0.30114,0.0648,0.1101,0.0434,0.001,1.0,0.003
05D4ef,4,0.60328,0.00167,0.60327,0.001,0.605,0.001,23.4973,0.19827,42.7503,0.2001,-9.0,0,0,-0.069996,0.035021,-1.55174,0.20642,23.5699,0.0325797,6.69931e-06,2.01026e-07,-2.6417e-06,-1.62089e-08,-2.40624e-11,333.497,-18.2123,-999,-999,-9.0,-2.9922,250,0.0260962,10.437,0.131,53625.6,0.2846,52,51.2368,0.50387,0.1248,0.0074,0.0077,0.003,1.0,0.003
05D3gv,4,0.71571,0.00175,0.71565,0.001,0.715,0.001,23.7414,0.244445,42.9944,0.245932,-9.0,0,0,-0.065358,0.061618,-0.842722,0.28607,23.7089,0.0371653,5.89437e-06,2.01767e-07,-0.000566423,-1.4038e-08,-5.79246e-10,215.247,53.1789,-999,-999,-9.0,-12.0502,250,0.00807624,10.726,0.113,53466.6,0.5807,40,43.0608,0.34163,0.204,0.0067,-0.0071,0.003,0.681,0.0
16350,1,0.23693,0.00103,0.23684,3e-05,0.23822,3e-05,20.9749,0.208496,40.2279,0.210237,-9.0,0,0,-0.086052,0.044348,-0.956479,0.59643,20.8949,0.0472588,7.87115e-05,3.42607e-06,0.00544178,-7.08692e-07,-9.22749e-08,323.639,-0.8858,-9,-9,3.964,-21.6765,250,0.0407324,10.79,0.088,54054.0,0.4796,23,13.8437,0.93126,0.1378,0.0104,-0.0074,0.003,1.0,0.001
20048,1,0.18402,0.00099,0.18388,4e-05,0.18531,4e-05,20.543,0.216702,39.796,0.218377,-9.0,0,0,0.019531,0.040691,-0.676762,0.52153,20.6727,0.0559655,9.65915e-05,4.97892e-06,0.0051726,-1.0459e-06,-1.21588e-07,339.308,0.7364,-9,-9,0.351,-35.9495,250,0.0608982,10.86,0.09,54410.2,0.3721,35,23.6065,0.92839,0.1236,0.0127,-0.083,0.002,1.0,0.007
1310395,10,0.28907,0.00511,0.28899,0.005,0.29,0.005,21.449,0.275906,40.702,0.277224,-9.0,0,0,0.056702,0.031799,-0.883251,0.26999,21.7995,0.0385256,3.42131e-05,1.214e-06,0.000682064,-9.71352e-08,-2.91866e-08,36.5343,-6.76,-999,-999,-9.0,-19.34,250,0.0296834,7.0,2.0,56980.6,0.2622,46,40.5378,0.69966,0.0869,0.0432,-0.0075,0.01,1.0,0.025
2031,1,0.15195,0.00108,0.15186,0.0005,0.153,0.0005,19.7947,0.156456,39.0477,0.158769,-9.0,0,0,-0.12821,0.024266,0.48801,0.14271,19.4488,0.0438665,0.000298189,1.20476e-05,2.56833e-06,-2.2564e-07,-2.03367e-07,312.043,-1.1714,-9,-9,1.103,-23.0474,250,0.0626723,9.204,54.124,53636.9,0.1393,53,63.3234,0.15674,0.0611,0.0165,0.0701,0.005,1.0,0.006
05D3jb,4,0.74573,0.00177,0.74566,0.001,0.745,0.001,23.9145,0.193302,43.1675,0.195179,-9.0,0,0,-0.072819,0.049593,0.93826,0.23307,23.6361,0.0301626,6.3035e-06,1.75116e-07,-9.96521e-05,-1.90364e-08,-1.36833e-09,215.542,52.8781,-999,-999,-9.0,-11.5666,250,0.00784745,10.471,0.0465,53515.3,0.2536,40,63.3436,0.0107893,0.164,0.0066,0.0327,0.003,0.659,0.0
2017cbv,18,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.2577,0.577916,30.5107,0.578546,30.5454,1,0,-0.096025,0.035108,0.81895,0.065942,10.914,0.0990172,0.77342,0.0705343,-0.00018429,0.000187787,-0.00208332,218.143,-44.1341,-999,-999,-9.0,440.866,250,0.14511,10.449,-9.0,57840.7,0.05,92,45.169,0.99999,0.0607,0.5586,0.0216,0.003,1.0,0.003
2789,1,0.28901,0.00108,0.2889,6e-05,0.29048,6e-05,21.4898,0.226897,40.7428,0.228497,-9.0,0,0,-0.105114,0.054826,-0.791314,0.5506,21.3187,0.0642943,5.32739e-05,3.15473e-06,0.00619451,-1.00863e-06,-8.80644e-08,344.202,0.4011,-9,-9,2.828,-25.5839,250,0.0468964,11.224,0.16,53636.2,0.5123,60,58.185,0.54234,0.1704,0.0091,-0.0152,0.004,0.805,0.0
